| id | neighbourhood | neighbourhood_group | latitude | longitude | price |
| 1159572 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.49451 | 13.38537 | 127 |
| 1172856 | Alexanderplatz | Mitte | 52.52725 | 13.39153 | 78 |
| 1176655 | Brunnenstr. Süd | Mitte | 52.53434 | 13.40217 | 145 |
| 1177924 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.491261 | 13.392341 | 190 |
| 1185916 | Neue Kantstraße | Charlottenburg-Wilm. | 52.50467 | 13.29144 | 51 |
| 1205350 | Prenzlauer Berg Südwest | Pankow | 52.538 | 13.40886 | 112 |
| 1224679 | Parkviertel | Mitte | 52.55474 | 13.34739 | 41 |
| 1226803 | Frankfurter Allee Nord | Friedrichshain-Kreuzberg | 52.51595 | 13.45704 | 162 |
| 1227566 | Osloer Straße | Mitte | 52.56467 | 13.39204 | 117 |
| 1230847 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.48667 | 13.39064 | 107 |
| 1234638 | Frankfurter Allee Nord | Friedrichshain-Kreuzberg | 52.51515 | 13.46967 | 169 |
| 1237568 | Alexanderplatz | Mitte | 52.52275 | 13.40259 | 79 |
| 1238867 | Prenzlauer Berg Nord | Pankow | 52.5516 | 13.41688 | 84 |
| 1255664 | Otto-Suhr-Allee | Charlottenburg-Wilm. | 52.5157 | 13.30468 | 46 |
| 1255842 | Karl-Marx-Allee-Nord | Friedrichshain-Kreuzberg | 52.52403 | 13.44403 | 80 |
| 1264077 | Köllnische Heide | Neukölln | 52.47177 | 13.46855 | 82 |
| 1272125 | Otto-Suhr-Allee | Charlottenburg-Wilm. | 52.51229 | 13.31165 | 46 |
| 1273930 | Brunnenstr. Süd | Mitte | 52.53159 | 13.39474 | 208 |
| 1273941 | Brunnenstr. Süd | Mitte | 52.53159 | 13.39487 | 260 |
| 1273954 | Brunnenstr. Süd | Mitte | 52.5313 | 13.39461 | 260 |
| 1273965 | Brunnenstr. Süd | Mitte | 52.5313 | 13.39461 | 208 |
| 1274386 | Otto-Suhr-Allee | Charlottenburg-Wilm. | 52.52146 | 13.30163 | 13 |
| 1274387 | Mierendorffplatz | Charlottenburg-Wilm. | 52.52334 | 13.30312 | 24 |
| 1275721 | Barstraße | Charlottenburg-Wilm. | 52.489639 | 13.31773 | 95 |
| 1282857 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.49155 | 13.39364 | 84 |
| 1283324 | Rixdorf | Neukölln | 52.47927 | 13.44402 | 51 |
| 1286381 | Karl-Marx-Allee-Nord | Friedrichshain-Kreuzberg | 52.51893 | 13.45023 | 72 |
| 1300487 | Frankfurter Allee Süd FK | Friedrichshain-Kreuzberg | 52.51373 | 13.47125 | 51 |
| 1302932 | Schöneberg-Nord | Tempelhof - Schöneberg | 52.49789 | 13.36843 | 210 |
| 1306679 | Brunnenstr. Süd | Mitte | 52.53844 | 13.40199 | 89 |
| 1310620 | Brunnenstr. Süd | Mitte | 52.53659 | 13.40283 | 57 |
| 1318989 | Helmholtzplatz | Pankow | 52.54301 | 13.42187 | 51 |
| 1322780 | Neue Kantstraße | Charlottenburg-Wilm. | 52.5033 | 13.2944 | 97 |
| 1331239 | Tiergarten Süd | Mitte | 52.49905 | 13.36702 | 75 |
| 1346757 | Parkviertel | Mitte | 52.54709 | 13.34999 | 77 |
| 1350644 | Brunnenstr. Nord | Mitte | 52.54475 | 13.365 | 126 |
| 1358910 | Moabit Ost | Mitte | 52.5325 | 13.35108 | 105 |
| 1374034 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.49011 | 13.38901 | 59 |
| 1388269 | Prenzlauer Berg Nord | Pankow | 52.5508 | 13.42457 | 54 |
| 1389205 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.49341 | 13.42055 | 159 |
| 1396712 | südliche Luisenstadt | Friedrichshain-Kreuzberg | 52.49485 | 13.42794 | 38 |
| 1400743 | Neuköllner Mitte/Zentrum | Neukölln | 52.46912 | 13.43153 | 53 |
| 1405939 | Neuköllner Mitte/Zentrum | Neukölln | 52.46545 | 13.43719 | 67 |
| 1440278 | Frankfurter Allee Süd FK | Friedrichshain-Kreuzberg | 52.49822 | 13.47007 | 432 |
| 1468872 | Rixdorf | Neukölln | 52.47737 | 13.45633 | 145 |
| 1479117 | Parkviertel | Mitte | 52.54971 | 13.35013 | 190 |
| 1488624 | Helmholtzplatz | Pankow | 52.54554 | 13.41483 | 260 |
| 1537125 | Brunnenstr. Nord | Mitte | 52.54078 | 13.39049 | 93 |
| 1537928 | Prenzlauer Berg Süd | Pankow | 52.53165 | 13.42133 | 54 |
| 1540715 | Schöneberg-Nord | Tempelhof - Schöneberg | 52.4971 | 13.35878 | 89 |
| 1541488 | Alexanderplatz | Mitte | 52.52485 | 13.40795 | 92 |
| 1548045 | Prenzlauer Berg Nord | Pankow | 52.5473 | 13.4264 | 268 |
| 1548171 | Lichtenrade | Tempelhof - Schöneberg | 52.40228 | 13.39025 | 72 |
| 1554182 | Schillerpromenade | Neukölln | 52.47602 | 13.42197 | 65 |
