id	descriptive_name	neighbourhood	price	days	total_price
888305568047565032	Double Room with AC, Central spot in Mitte, Berlin	Alexanderplatz	140	3	420
1216475275816606955	Apartmenthaus Berlin Mitte - Superior Apartment	Alexanderplatz	140	3	420
1009947815168772656	Nah dem Hauptbahnhof	Moabit Ost	140	3	420
962068583212950028	Dachgeschoss-Zimmer ruhig & zentral mit Terrasse	Moabit West	140	3	420
245827	2-bedroom apartment Mitte	Regierungsviertel	140	3	420
16167936	1 Charming 2 Room Apartment in Berlin Mitte	Alexanderplatz	138	3	414
1290636737797506256	Stylish 1 Bedroom w/Balcony by Berlin Wall, Mitte	Brunnenstr. Süd	138	3	414
1130502154822475390	Comfort Double Bedroom	Alexanderplatz	137	3	411
29891720	Double room shower/WC/TV/kitchen No.Nr.3	Alexanderplatz	136	3	408
1211490901429811494	Numa | Medium Room near Alexanderplatz	Alexanderplatz	136	3	408
1216465253515023473	Apartmenthaus Berlin Mitte - Superior Apartment	Alexanderplatz	136	3	408
8057647	Stylish Apt w/ Balcony Near Rosenthaler Platz	Alexanderplatz	135	3	405
1268942209716845570	Loft über den Dächern Berlins	Alexanderplatz	135	3	405
1201312259851352017	Stilvoll im Herzen Berlins	Brunnenstr. Süd	135	3	405
1003550014251405426	J8 - Room22 Studioapartment Mitte Mitte	Alexanderplatz	133	3	399
1214964680172530901	Apartmenthaus Berlin Mitte - Superior Studio	Alexanderplatz	133	3	399
1359377017583012847	Berlin Muellerstr. | Suite M	Brunnenstr. Nord	133	3	399
6098049	Double Room Ensuite / TV  No.2	Alexanderplatz	132	3	396
825308022126453828	Room in vibrant Berlin Mitte	Brunnenstr. Süd	129	3	387
893178043576083829	Schöne ruhige Wohnung in Berlin	Parkviertel	129	3	387
11712065	Parkview Sepia	Brunnenstr. Süd	126	3	378
10736361	Double Room Ensuite /  kitchen No.2	Alexanderplatz	124	3	372
1143306076073478989	HEART OF MITTE at Weinbergsweg	Brunnenstr. Süd	124	3	372
30883941	Ruhiges CityApartment 6 for Two	Regierungsviertel	124	3	372
6858383	King-size capsule shared with additional capsules	Alexanderplatz	123	3	369
1379738149541462062	AR City Hotel Berlin-Double room	Osloer Straße	122	3	366
47215807	Double Hotel Gat Point Charlie Berlin	Regierungsviertel	122	3	366
927468711826067742	MLM 14: designer loft 12 mins Hauptbahnhof	Alexanderplatz	121	3	363
628380269015991062	Top Stay in Berlin Mitte	Regierungsviertel	121	3	363
50927063	Zweibettzimmer 3, Apple City Hotel	Moabit West	120	3	360
1452021779514114724	Zentral, ruhig, Blick ins Grüne - bei der Spree	Moabit West	119	3	357
53539095	Spacious 2-Bedroom Apartment Digital Check-In	Parkviertel	119	3	357
43522753	Stylish New Cube Loft II by Berlin-Wall-Apartments	Brunnenstr. Nord	117	3	351
37206357	operation BANGA	Alexanderplatz	116	3	348
737353278829680936	Central City  7 - apartment with balcony	Alexanderplatz	116	3	348
36651479	Bauhaus inspired penthouse studio	Brunnenstr. Süd	116	3	348
1434873013652286023	Modern Stay Moabit	Moabit West	116	3	348
1457050419117257436	Modern Stay Unique Berlin	Moabit West	116	3	348
1178278262649886437	Elegantes Apartment Mitte - Mauerpark	Brunnenstr. Nord	115	3	345
1300785286656167153	Great 2-room apartment in Mitte	Parkviertel	114	3	342
1084512	Charming Studio Sprengelkiez Berlin	Wedding Zentrum	112	3	336
737388529164826914	Central City 8 - Apartment with balcony	Alexanderplatz	111	3	333
1294024209506655692	HolidayHome Apartments | Luxery Private Room	Brunnenstr. Nord	111	3	333
1292325214470147373	Gip	Brunnenstr. Süd	111	3	333
21458398	Little CityApartment 5or3 for Two	Regierungsviertel	111	3	333
972928912143698998	Classic/great location/cute space/sxf	Wedding Zentrum	111	3	333
736656859480547864	Central City  5 - Apartment with balcony	Alexanderplatz	110	3	330
